date,name,value,category
2017-01-08,Energy,6,Northern America
2017-01-08,Energy,6,Northern America
2017-01-08,Energy,6,Northern America
2017-01-17,Environment,6,Central America
2017-01-17,,6,World
2017-01-17,Energy,6,World
2017-01-12,Government,60,
2017-01-15,Energy,16,World
2017-01-15,,16,Western Africa
2017-01-06,Aerospace & defence,6,Western Asia
2017-01-16,Manufacturing,4,Northern America
2017-01-16,Retail,6,Northern America
2017-01-15,Energy,6,
2017-01-15,Energy,6,
2017-01-16,Energy,12,Eastern Europe
2017-01-13,Energy,16,World
2017-01-09,Energy,9,
2017-01-15,Financial services,16,World
2017-01-10,Aerospace & defence,4,World
2017-01-10,Energy,8,Western Asia
2017-01-12,Financial services,8,Central Africa
2017-01-12,,16,World
2017-01-12,Support services,16,
2017-01-14,,24,Northern America
2017-01-11,Energy,16,World
2017-01-11,Energy,6,World
2017-01-07,Energy,6,Northern Africa
2017-01-11,Energy,6,Northern America
2017-01-14,,6,World
2017-08-31,Information Technology,72,World
2017-01-10,Energy,12,
2017-01-09,Energy,6,Southern Africa
2017-01-09,,16,Southern Asia
2017-01-09,,16,Western Asia
2017-01-09,,8,Eastern Europe
2017-01-09,,8,Central Asia
2017-01-10,Energy,4,World
2017-01-10,,12,World
2017-01-10,Healthcare,18,
2017-01-10,Energy,16,Northern America
2017-01-10,Energy,16,Northern America
2017-01-10,Energy,16,Northern America
2017-01-10,Energy,16,Northern America
2017-01-10,Energy,16,Northern America
2017-01-10,Energy,16,Northern America
2017-01-10,Energy,20,Northern America
2017-01-10,Energy,16,Northern America
2017-01-10,Energy,6,World
2017-01-10,Energy,12,
2017-01-10,Energy,16,Northern America
2017-01-10,Energy,6,Northern America
2017-01-10,Energy,12,
2017-01-10,Energy,6,Northern America
2017-01-10,Energy,16,Northern America
2017-01-10,,8,
2017-01-10,Energy,16,
2017-01-10,Energy,16,World
2017-01-10,Energy,6,Northern America
2017-01-10,Energy,16,World
2017-01-10,Aerospace & defence,6,Eastern Asia
2017-01-10,Energy,16,World
2017-01-10,Energy,6,Northern America
2017-01-10,Energy,8,
2017-01-10,Energy,4,Northern America
2017-01-10,Energy,16,Northern America
